timestamp,side,angle_deg,p50,p95,risk,stroke_count,phase
1759092512.677999,right,163.55393981933594,161.50428771972656,170.8223876953125,Overextension risk,1,Warmup
1759092512.760416,right,168.1643524169922,161.52338409423828,170.82210845947264,Overextension risk,1,Warmup
1759092512.807859,right,169.24476623535156,161.54248046875,170.82182922363282,Overextension risk,1,Warmup
1759092512.8736372,right,168.14295959472656,161.5466079711914,170.82154998779296,Overextension risk,1,Warmup
1759092512.942701,right,168.6044158935547,161.5507354736328,170.82127075195314,Overextension risk,1,Warmup
1759092513.009557,right,168.27626037597656,161.7506332397461,170.82099151611328,Overextension risk,1,Warmup
1759092513.0709178,right,167.45518493652344,161.95053100585938,170.82071228027343,Overextension risk,1,Warmup
1759092513.1381152,right,166.4527587890625,162.12913513183594,170.8204330444336,Overextension risk,1,Warmup
1759092513.20493,right,167.2576904296875,162.3077392578125,170.82015380859374,Overextension risk,1,Warmup
1759092513.239685,right,167.565673828125,162.40965270996094,170.81987457275392,Overextension risk,1,Warmup
1759092513.303318,right,167.53346252441406,162.51156616210938,170.81959533691406,Overextension risk,1,Warmup
1759092513.336682,right,166.71043395996094,162.7485122680664,170.8193161010742,Overextension risk,1,Warmup
1759092513.368902,right,166.54518127441406,162.98545837402344,170.81903686523438,Overextension risk,1,Warmup
1759092513.401577,right,166.4197235107422,163.0740966796875,170.81875762939453,Overextension risk,1,Warmup
1759092513.4343,right,166.32777404785156,163.16273498535156,170.8184783935547,Overextension risk,1,Warmup
1759092513.4671528,right,166.3709716796875,163.21302795410156,170.81819915771484,Overextension risk,1,Warmup
1759092513.499525,right,166.34356689453125,163.26332092285156,170.817919921875,Overextension risk,1,Warmup
1759092513.570126,right,166.37860107421875,163.40863037109375,170.81764068603516,Overextension risk,1,Main
1759092513.604396,right,166.25929260253906,163.55393981933594,170.8173614501953,Overextension risk,1,Main
1759092513.637492,right,166.24517822265625,163.60606384277344,170.81708221435548,Overextension risk,1,Main
1759092513.669064,right,165.77883911132812,163.65818786621094,170.81680297851562,Overextension risk,1,Main
1759092513.70477,right,165.22689819335938,163.86431884765625,170.8102020263672,Overextension risk,1,Main
1759092513.73888,right,166.06715393066406,164.07044982910156,170.80360107421876,Overextension risk,1,Main
1759092513.774154,right,166.5354766845703,164.18577575683594,170.7970001220703,Overextension risk,1,Main
1759092513.8056839,right,167.2327880859375,164.3011016845703,170.79039916992187,Overextension risk,1,Main
1759092513.837641,right,167.7366943359375,164.3496322631836,170.78379821777344,Overextension risk,1,Main
1759092513.8742359,right,168.46107482910156,164.39816284179688,170.777197265625,Overextension risk,1,Main
1759092513.9049642,right,168.501953125,164.43692779541016,170.77059631347657,Overextension risk,1,Main
1759092513.943305,right,168.55874633789062,164.47569274902344,170.7639953613281,Overextension risk,1,Main
1759092513.9746828,right,168.98196411132812,164.8512954711914,170.75739440917968,Overextension risk,1,Main
1759092514.0412931,right,168.87896728515625,165.22689819335938,170.75079345703125,Overextension risk,1,Main
1759092514.075788,right,168.7005615234375,165.35869598388672,170.74419250488282,Overextension risk,1,Main
1759092514.144871,right,166.76153564453125,165.49049377441406,170.7375915527344,Overextension risk,1,Main
1759092514.211079,right,165.87184143066406,165.61226654052734,170.73099060058593,Overextension risk,1,Main
1759092514.271625,right,166.06948852539062,165.73403930664062,170.7243896484375,Overextension risk,1,Main
1759092514.304829,right,166.45057678222656,165.75643920898438,170.71778869628906,Overextension risk,1,Main
1759092514.338609,right,166.59423828125,165.77883911132812,170.71118774414063,Overextension risk,1,Main
1759092514.373897,right,166.52056884765625,165.8253402709961,170.7045867919922,Overextension risk,1,Main
1759092514.41042,right,166.54225158691406,165.87184143066406,170.69798583984374,Overextension risk,1,Main
1759092514.4749591,right,167.11697387695312,165.8940658569336,170.6913848876953,Overextension risk,1,Main
1759092514.540568,right,167.53451538085938,165.91629028320312,170.68478393554688,Overextension risk,1,Main
1759092514.574219,right,167.61424255371094,165.93755340576172,170.6718406677246,Overextension risk,1,Main
1759092514.6081111,right,167.70436096191406,165.9588165283203,170.65889739990234,Overextension risk,1,Main
1759092514.641473,right,167.9395294189453,166.0129852294922,170.64595413208008,Overextension risk,1,Main
1759092514.6745842,right,168.30828857421875,166.06715393066406,170.6330108642578,Overextension risk,1,Main
1759092514.707499,right,168.53036499023438,166.06832122802734,170.62006759643555,Overextension risk,1,Main
1759092514.740644,right,168.85548400878906,166.06948852539062,170.60712432861328,Overextension risk,1,Main
1759092514.773443,right,169.1862030029297,166.15733337402344,170.59418106079102,Overextension risk,1,Main
1759092514.805154,right,169.4785919189453,166.24517822265625,170.58123779296875,Overextension risk,1,Main
1759092514.841244,right,169.91549682617188,166.25223541259766,170.56829452514648,Overextension risk,1,Main
1759092514.8756711,right,170.05328369140625,166.25929260253906,170.55535125732422,Overextension risk,1,Main
1759092514.906235,right,170.29953002929688,166.2935333251953,170.54240798950195,Overextension risk,1,Main
1759092514.940876,right,170.64158630371094,166.32777404785156,170.65886535644532,Overextension risk,1,Main
1759092515.008358,right,170.8107147216797,166.3356704711914,170.72885971069337,Overextension risk,1,Main
1759092515.076902,right,171.39334106445312,166.34356689453125,170.81254119873046,Overextension risk,1,Main
1759092515.14489,right,172.06663513183594,166.35726928710938,170.81819915771484,Overextension risk,1,Main
1759092515.214078,right,172.6684112548828,166.3709716796875,170.93657836914062,Overextension risk,1,Main
1759092515.27857,right,172.9890594482422,166.37478637695312,171.45200805664064,Overextension risk,1,Main
1759092515.3430169,right,173.0270538330078,166.37860107421875,171.7860534667969,Overextension risk,1,Main
1759092515.413332,right,172.70590209960938,166.39916229248047,171.80890426635742,Overextension risk,1,Main
1759092515.47787,right,172.4668731689453,166.4197235107422,171.96961975097656,Overextension risk,1,Main
1759092515.581408,right,171.91110229492188,166.43515014648438,171.96669387817383,Overextension risk,1,Main
1759092515.6477802,right,171.00086975097656,166.45057678222656,171.9637680053711,Overextension risk,1,Main
1759092515.713702,right,170.6953887939453,166.45166778564453,171.96084213256836,Overextension risk,1,Main
1759092515.779268,right,170.49595642089844,166.4527587890625,171.95791625976562,Overextension risk,1,Main
1759092515.846478,right,168.26304626464844,166.48666381835938,171.9549903869629,Overextension risk,1,Main
1759092515.912821,right,168.6742401123047,166.52056884765625,171.95206451416016,Overextension risk,1,Main
1759092515.977847,right,169.31126403808594,166.52802276611328,171.94913864135742,Overextension risk,1,Main
1759092516.046023,right,167.6533966064453,166.5354766845703,171.9462127685547,Overextension risk,1,Main
1759092516.110382,right,167.3768310546875,166.5388641357422,171.94328689575195,Overextension risk,1,Main
1759092516.144829,right,169.02684020996094,166.54225158691406,171.94036102294922,Overextension risk,1,Main
1759092516.2134762,right,168.9451446533203,166.54371643066406,171.93743515014648,Overextension risk,1,Main
1759092516.279485,right,169.40219116210938,166.54518127441406,171.93450927734375,Overextension risk,1,Main
1759092516.341034,right,168.41189575195312,166.56970977783203,171.93158340454102,Overextension risk,1,Main
1759092516.3776808,right,167.42079162597656,166.59423828125,171.92865753173828,Overextension risk,1,Main
1759092516.4095109,right,166.26309204101562,166.56970977783203,171.92573165893555,Overextension risk,1,Main
1759092516.477827,right,167.18472290039062,166.59423828125,171.9228057861328,Overextension risk,1,Main
1759092516.548864,right,169.50567626953125,166.60430145263672,171.91987991333008,Overextension risk,1,Main
1759092516.6108842,right,169.69468688964844,166.61436462402344,171.91695404052734,Overextension risk,1,Main
1759092516.644958,right,171.47023010253906,166.61825561523438,171.9140281677246,Overextension risk,1,Main
1759092516.712755,right,171.57559204101562,166.6221466064453,171.91110229492188,Overextension risk,1,Main
1759092516.779895,right,170.38690185546875,166.62262725830078,171.90556945800782,Overextension risk,1,Main
1759092516.8462012,right,166.11715698242188,166.6221466064453,171.90003662109376,Overextension risk,1,Main
1759092516.913229,right,162.93629455566406,166.61825561523438,171.89450378417968,Overextension risk,1,Main
1759092516.97956,right,155.91647338867188,166.61436462402344,171.88897094726562,Overextension risk,1,Main
1759092517.04707,right,158.01776123046875,166.60430145263672,171.88343811035156,Overextension risk,1,Main
1759092517.110512,right,144.63929748535156,166.59423828125,171.8779052734375,Overextension risk,1,Main
1759092517.179046,right,146.9845428466797,166.56970977783203,171.87237243652345,Overextension risk,1,Main
1759092517.2441862,right,150.19830322265625,166.54518127441406,171.86683959960936,Overextension risk,1,Main
1759092517.3093178,right,149.84719848632812,166.54371643066406,171.8613067626953,Overextension risk,1,Main
